OrigTrialNum,Subj,Subj_Ranked,SexFM,StyleDR,Block,Trial,MinDist,HitFlag,t_throwOnset,t_HSmax,t_MinDist,t_InterTrial,PeakHandSpeed,PeakTipSpeed,WhipExt_PeakHand,WhipAzAng_PeakHand,HandAzAng_PeakHand
881,3,11,1,2,4,14,0.0266564473368902,1,0.668,0.924,1.122,1.134,5.77802214602907,23.2049014149436,1.52470326354014,22.8591528551253,49.614335729601
882,3,11,1,2,4,15,0.147381505794332,1,0.812,1.056,1.244,1.254,6.66883933405583,28.3369891794577,1.44631658163238,20.2408131834033,47.4946964876997
883,3,11,1,2,4,16,0.145214838072793,0,0.734,1.004,1.18,1.192,7.01380422557282,32.8126132122118,1.47008884986418,24.3483231692027,54.7825422876253
884,3,11,1,2,4,17,0.187148080567645,0,0.654,0.916,1.096,1.094,6.23393625984326,24.0889653800223,1.50731194248517,30.1046247013203,55.6695631631092
885,3,11,1,2,4,18,0.0681730082415418,0,0.764,1,1.182,1.176,6.49876783610325,23.0924608629694,1.50354649193852,29.2166594051233,49.4534728919554
886,3,11,1,2,4,19,0.134969058155896,1,0.752,0.996,1.174,1.18,6.77039115583137,23.2626296883755,1.5219114699611,21.6184723223267,54.5173547691591
887,3,11,1,2,4,20,0.104992174714427,0,0.762,0.984,1.166,1.162,6.5913768618089,34.8192595431666,1.48539646562744,23.702951937091,50.5334056659061
888,3,11,1,2,4,21,0.276285808691687,0,0.686,0.946,1.126,1.128,6.57228883922381,23.515479017081,1.45185338511411,26.6055618360836,51.1704836290133
889,3,11,1,2,4,22,0.0190470538483273,1,0.732,0.966,1.15,1.15,6.70835153105096,24.2813274587709,1.49495096815929,21.6743220251478,50.2837682170704
890,3,11,1,2,4,23,0.0502663937061384,1,0.734,0.962,1.152,1.146,6.26417526778349,32.7190963787512,1.53729940781193,24.2634536661841,46.7292399731317
891,3,11,1,2,4,24,0.242178597919188,0,0.656,0.922,1.098,1.11,6.52188722576892,29.0114056984064,1.4723315268138,21.2840298761228,43.3054181798789
892,3,11,1,2,4,25,0.195000607693188,0,0.592,0.856,1.042,1.046,5.77064025990316,35.4946148603241,1.51835280781911,33.7221782309095,55.7364635257609
893,3,11,1,2,4,26,0.128413937888725,0,0.668,0.916,1.104,1.102,6.14610514959148,34.4631078611286,1.53411022267034,15.3817905748592,44.6990551932748
894,3,11,1,2,4,27,0.00571018423033277,1,0.646,0.914,1.102,1.102,5.97719479580322,23.1901473135965,1.45903197285238,25.4180037509349,47.4981297692209
895,3,11,1,2,4,28,0.111681224345465,1,0.73,0.966,1.156,1.15799999999999,6.58342184823433,NaN,0,-1.64448990526182,47.3130981693469
896,3,11,1,2,4,29,0.117097828320993,0,0.706,0.924,1.112,1.114,6.45537426960986,33.2563303365318,1.46779140543383,15.834413709887,50.0865581755914
897,3,11,1,2,4,30,0.0481888623964235,0,0.59,0.866,1.04,1.058,5.95827919922711,33.119320023307,1.52435536188913,22.011363074094,57.9894048760946
898,3,11,1,2,4,31,0.0239522037999319,1,0.634,0.904,1.086,1.088,6.20341366372414,27.9902207867547,1.53619918682455,20.3212965714479,49.5182322249774
899,3,11,1,2,4,32,0.0336680837061436,1,0.68,0.898,1.078,1.082,6.31270002345222,38.5544139923127,1.50658088541323,4.03852745740293,37.866531556978
